band,fID,obsHistID
r,1486,193126
r,1488,193127
r,1427,193130
r,837,193140
r,839,193141
r,933,193142
r,947,193143
r,1178,193144
r,1188,193145
r,1214,193146
r,1070,193147
r,1050,193148
r,1046,193149
r,1034,193150
r,1350,193162
r,1361,193163
r,1375,193164
r,1386,193165
r,1486,193166
r,1488,193167
r,1516,193168
r,1522,193169
r,1427,193170
r,1034,193181
r,1046,193182
r,1050,193183
r,933,193184
r,839,193185
r,947,193186
r,1070,193187
r,963,193188
r,1082,193189
r,975,193190
r,1245,193230
r,963,193231
r,975,193232
r,1082,193233
r,985,193234
r,1178,193235
r,885,193236
r,794,193237
r,913,193246
r,1011,193247
r,1094,193248
z,985,193261
z,909,193262
z,736,193266
z,816,193267
z,885,193268
z,975,193269
z,1070,193270
z,1165,193271
z,1082,193272
z,1011,193273
z,913,193274
z,1094,193281
z,1188,193282
z,1214,193283
g,794,193776
g,872,193777
g,975,193778
g,885,193779
g,985,193780
g,1094,193781
g,1188,193782
g,1297,193783
g,1309,193784
g,1419,193785
r,720,193800
r,794,193801
r,872,193802
r,963,193803
r,1050,193804
r,947,193805
r,871,193806
r,778,193807
g,975,193810
g,872,193811
g,794,193812
g,885,193819
g,985,193820
g,1094,193821
g,1188,193822
g,1297,193823
g,1309,193824
g,1419,193825
g,1178,193826
g,1070,193827
g,963,193828
g,794,193829
g,778,193830
r,778,193833
r,871,193834
r,947,193835
r,1050,193836
r,872,193837
r,794,193838
r,720,193839
r,963,193840
r,1050,193841
r,1154,193842
r,1257,193843
r,1361,193844
r,1375,193845
r,1269,193846
r,1165,193847
r,1070,193848
r,1082,193849
r,1094,193850
r,1116,193851
r,1331,193859
r,1309,193860
r,1419,193861
r,1050,193880
r,1070,193881
r,1165,193882
r,1154,193883
r,1257,193884
r,1361,193885
r,1375,193886
r,1269,193887
r,1082,193888
r,1094,193890
r,1116,193891
r,1331,193899
r,1309,193900
r,1419,193901
r,1522,193902
r,1309,194105
r,1094,194107
r,1011,194108
r,985,194109
g,1361,194845
g,1350,194846
g,1257,194847
g,1144,194848
g,1046,194849
g,933,194850
g,837,194851
g,839,194852
g,766,194856
g,871,194857
g,849,194858
g,947,194859
g,1050,194860
g,1154,194861
g,1165,194862
g,1375,194863
g,1386,194864
g,1361,194905
g,1350,194906
g,1257,194907
g,1144,194908
g,1046,194909
g,933,194910
g,839,194911
g,837,194912
g,766,194916
g,871,194917
g,849,194918
g,947,194919
g,1050,194920
g,1165,194921
g,1154,194922
g,1375,194923
g,1386,194924
r,1427,195529
i,794,196420
i,1331,196437
i,1427,196438
i,794,196451
i,1331,196475
i,1427,196476
i,1445,196477
i,1546,196497
i,1401,196568
i,1419,196569
i,1427,196570
g,748,196590
i,1401,196609
i,1419,196610
i,1427,196611
g,748,196645
r,1427,197356
r,1427,197394
r,1516,197400
r,1401,197401
r,1297,197402
r,1309,197403
r,1516,197422
r,1401,197423
r,1297,197424
r,1309,197425
r,1331,197426
r,1277,197427
r,1269,197428
r,1257,197429
r,1245,197430
r,1350,197431
r,1476,197437
r,1486,197438
r,1350,197476
r,1245,197477
r,1257,197478
r,1269,197479
r,1277,197480
r,1476,197483
z,1214,197705
z,1188,197706
z,1178,197707
z,1165,197708
z,1082,197709
z,1094,197710
r,1445,199450
r,1116,199496
r,1214,199497
r,1309,199498
r,1419,199499
r,1522,199500
r,1427,199504
r,1331,199505
r,1116,199532
r,1214,199533
r,1309,199534
r,1419,199535
r,1427,199540
r,1331,199541
r,909,199648
r,885,199649
r,1011,199650
r,985,199651
r,975,199652
i,1427,200152
i,1546,200182
i,1427,200184
i,1516,200190
i,1401,200191
i,1386,200192
i,1488,200193
i,1401,200221
i,1386,200222
u,1427,200705
u,1427,200725
u,1401,200735
u,1297,200736
u,1188,200737
u,1214,200738
u,1309,200739
u,1331,200740
u,1226,200741
u,1214,200746
u,1309,200747
u,1331,200748
u,1277,200749
u,1178,200750
u,1165,200751
u,1269,200752
u,1375,200753
u,1386,200754
u,1309,200810
u,1214,200811
u,1094,200812
u,1070,200813
u,1046,200814
u,1034,200815
u,1036,200816
u,1243,200819
u,1350,200823
u,1245,200824
u,1257,200825
u,1361,200826
u,746,200891
u,794,200906
u,885,200907
u,766,200908
u,748,200909
u,720,200931
u,816,200932
u,794,200933
u,885,200934
u,985,200935
u,1094,200936
u,933,200937
u,839,200938
u,837,200939
u,1144,200942
u,1133,200943
z,698,201125
z,778,201126
z,871,201127
z,947,201128
z,872,201129
z,963,201130
z,975,201131
z,985,201132
z,909,201137
z,885,201138
z,816,201139
z,826,201140
z,736,201143
z,720,201144
r,816,201664
r,794,201665
r,778,201666
r,766,201667
r,748,201668
r,816,201686
r,794,201687
r,748,201705
r,766,201706
r,778,201707
r,746,201724
r,748,201725
r,849,201726
r,837,201727
r,839,201728
r,754,201729
r,746,201755
r,748,201757
r,849,201758
r,837,201759
r,839,201760
y,826,202309
r,746,202548
r,839,202550
r,931,202551
r,939,202552
r,931,202580
r,839,202581
r,746,202583
r,963,202585
r,975,202586
r,985,202587
r,1116,202588
r,1094,202589
r,1082,202590
r,1070,202591
r,1046,202592
r,1034,202593
r,1036,202594
r,963,202616
r,1082,202617
r,1070,202618
r,1046,202619
r,1034,202620
r,975,202626
r,1094,202627
r,985,202628
r,1011,202630
r,933,202635
r,933,202657
r,931,202658
r,1036,202660
r,1133,202662
r,1144,202663
r,1142,202664
r,913,202685
r,1011,202686
r,931,202689
r,1036,202691
r,1133,202693
r,1144,202696
r,1243,202701
r,1243,202751
